Code_Site;Site_Name;lat;long;type of site;exact location
BGI_S034;Paroisse Sainte Trinité des Castors;4.37682021861228;18.5482906945112;religious_building;3 ARRONDISSEMENT/BANGUI
BGI_S035;Paroisse St Bernard;4.39854618927934;18.5660250925997;religious_building;4eme Arrondissement Boy-Rabe
BGI_S036;PK5 - communautés d'accueil;4.37405755;18.538087;host families;3 eme arrondissement
BGI_S038;Saint Antoine de Padoue;4.33017993588909;18.5298564299949;religious_building;OMBELLA MPOKO/BIMBO
BGI_S039;Saint Jean de Galabadja;4.41470865268185;18.5400632799663;religious_building;8eme arrondissement
BGI_S040;Sainte Marie;;;religious_building;
BGI_S041;St Joseph de Mukassa;4.36841137637485;18.5244567986388;religious_building;3 ARRONDISSEMENT/DAMECA/BANGUI/BIMBO
BGI_S042;St Mathias;4.37694217590886;18.5354531269865;religious_building;3 eme arrondissement
BGI_S043;St. Anne;4.38299436056658;18.6046995854998;religious_building;7 eme arrondissement
BGI_S044;St. Jacques de Kpetene;4.36485999681403;18.5455600532004;religious_building;6 eme arrondissement
BGI_S045;Saint Michel de Bazanga;4.385884;18.547663;religious_building;Bangui M'poko 5ème arrondissement Bazanga
BGI_S046;Village Ngbaloko;;;host families;
BGI_S047;Village SOS Enfants Ouango;4.367123368829;18.6242514217204;other;7ème arrondissement Ombella M'Po Bangui Village Ngbangouma
BGI_S048;Village Zacko;;;host families;
BGI_S049;St Paul - Communauté des Soeurs;4.370474;18.611387;religious_building;7 ARRONDISSEMENT BANGUI
BGI_S050;St Paul - SÈminaire;4.370576;18.609525;religious_building;7 eme arrondissement
BGI_S051;St Paul - LycÈe Pi XII;4.371400;18.61019;religious_building;7 ARRONDISSEMENT/LYCEE PI XII/BANGUI
BGI_S052;Ecole Ama;;;school;Bimbo 2 PK16
BGI_S053;Quartier Votongbo2;4.399477;18.573318;host families;4eme arrondissement Boy Rabe
BGI_S054;Consession des pretres de SMA;;;religious_building;Bimbo
BGI_S056;Orphelinat ASA - famille d'acceuil;;;host families;6 eme arrondissement
BGI_S057;Camp FOMAC;4.402968;18.541342;other;7ème arrondissement Ouango
BGI_S058;Communaute d'accueil Pere Lazariste;4.37158;18.61385;host families;7ème arrondissement OUANGO
BGI_S059;Mosquee Central;4.379187;18.538112;religious_building;3eme arrondissement Quartier Senegalais
BGI_S060;Hopital des Castors;4.377700;18.54811;health centre/hospital;3eme Castorse Bangui
BGI_S061;Orphelinat APEESA;;;other;6eme arrondissement
BGI_S062;Ecole Islamique PK5 Ecole Francoarabe Nasradin;;;school;3eme arrondissement KM 5
BGI_S063;Monastere St Pierre Celestin;;;religious_building;Bimbo
BGI_S064;PK 5 Mosquee Mali Maka;;;religious_building;5 eme arrondisement Quartier edville
BGI_S065;Ex-Base Aerienne;4.409100;18.5213;other;Airport
BGI_S066;Guitangola Source (eglise);;;religious_building;BIMBO 3 GUITANGOLA SOURCE
BGI_S067;St Sauveur;4.373907;18.560948;religious_building;2èm_ Arrondissement Quartier SICA 2
BGI_S068;Centre Jean 23;4.372353;18.560206;health centre/hospital;2eme arrondissement Bangui ˆ cot_ de la paroisse Saint Sauveur
BGI_S069;Eglise Four Square;4.384552;18.554626;religious_building;5 eme arondossement Benz-Vi
BGI_S070;Soeur De Malgash / Nzila;;;host families;Nzila
BGI_S072;Action pour la Compassion;;;religious_building;5 eme
BGI_S073;Eglise Chapel de vainqueur;4.384145;18.559423;host families;1ere
BGI_S076;Guitangola Famille d'acceuil;;;religious_building;Bimbi
BGI_S077;St Francois D'Assise;4.361412;18.555507;religious_building;6eme arrondissement
BGI_S078;St Famille;;;other;4eme
BGI_S079;Maison micheline;4.327524;18.534811;ONG;bimbo
BGI_S080;Pere Comboniens / St Joseph de Bimbo;4.341504;18.529627;religious_building;Bimbo
BGI_S081;SECA (Siege Caritas);4.340188;18.528561;ONG;Bimbo
BGI_S082;PK 5 Fulbe;;;host families;3eme
BGI_S083;Eglise Evangelique Lutherienne;4.403382;18.527622;religious_building;8eme
BGI_S084;Lycee des Marthyrs;4.372666;18.561883;school;2eme
BGI_S085;OUHAM2/GUIDA;;;host families;3eme
BGI_S086;ASECNA - Article 10;4.398751;18.528118;administrational building;5eme
BGI_S087;Communaute d'accueil 5e Arrondissement;;;host families;5eme
BGI_S088;Mosquee Oumou Mubarak Ba/Moustapha;;;religious_building;3eme
BGI_S089;Ecole St Charles;4.360539;18.563723;school;2eme
BGI_S090;Marche Sambo;4.373867;18.538342;public institution;3eme
BGI_S091;;;;;
BGI_S092;Mosque Rumah;;;church/mosque/religious institution/ parish;5eme
BGI_S093;Ecole Communautaire Francoarabe Alacam;;;school;5eme
BGI_S094;Mission Evangelique de Freres;;;church/mosque/religious institution/ parish;3eme
BGI_S095;Famille Camerounais Norte;;;host families;3eme
BGI_S096;jehova Sica 2;;;church/mosque/religious institution/ parish;2eme
BGI_S097;Jehova Combattant;;;church/mosque/religious institution/ parish;8eme
BGI_S098;Capucins;4.339187;18.528079;church/mosque/religious institution/ parish;Bimbo
BGI_S099;Dana;;;host families;Bimbo
BGI_S100;Bossambo;;;host families;Bimbo
BGI_S101;Eglise Adventiste;4.360500;18.48351;church/mosque/religious institution/ parish;3eme
BGI_S102;Complex Scolaire Adventiste;4.369073;18.551994;school;3eme
BGI_S103;Complexe Pédagogique Bethanie;4.37071;18.56419;school;
BGI_S104;Sanctuaire du Benzvi;;;school;5eme
BGI_S106;;;;;
BGI_S107;;;;;
BGI_S108;;;;;
BGI_S108;Centre d'Accueil Soeur Catholique;;;church/mosque/religious institution/ parish;2eme
BGI_S109;MarchÈ Yaloa;;;;
BGI_S110;;;;;
BGI_S111;ND Chartres;;;church/mosque/religious institution/ parish;6eme
BGI_S117;Ecole Koudoukou;4.378639;18.536378;school;3eme
BGI_S114;Eglise Apostolique Gbere;;;church/mosque/religious institution/ parish;8eme
BGI_S113;MarchÈ Yaloa;;;Private;3eme
BGI_S119;Eglise Apostolique Gbere;;;;
BGI_S120;Mission d'Evangelisaion pour le salut du Monde (MESM);4.370436;18.551854;;
BGI_S121;Eglise Catholique Orthodox;4.322001;18.510442;;
BGI_S122;Ecole Marternelle du 3ème Arrondissement;4.37414;18.537003;;
BGI_S123;Eglise EvangÈlique Baptiste Emmanuelle;4.36266;18.543636;;
